1,Arroz,2024-12-02,2025-12-09
2,Frijoles,2024-11-25,2025-11-30
3,Pasta,2024-12-10,2025-06-10
4,Carne,2024-12-05,2025-01-05
5,Huevos,2024-12-15,2025-01-15
6,Leche,2024-11-30,2025-01-30
7,Yogur,2024-11-28,2025-01-28
8,Pan,2024-12-01,2025-01-01
9,Aceite,2024-12-03,2025-03-03
10,Pollo,2024-12-08,2025-01-08
11,Manzanas,2024-12-12,2025-01-12
12,Papas,2024-12-18,2025-03-18
13,Zanahorias,2024-12-20,2025-01-20
14,Cebollas,2024-12-22,2025-01-22
15,Pimientos,2024-12-25,2025-01-25
16,Plátanos,2024-12-28,2025-01-28
17,Naranjas,2025-01-02,2025-02-02
18,Uvas,2025-01-05,2025-02-05
19,Peras,2025-01-08,2025-02-08
20,Sandía,2025-01-10,2025-02-10
21,Melón,2025-01-12,2025-02-12
22,Fresas,2025-01-15,2025-02-15
23,Mango,2025-01-18,2025-02-18
24,Piña,2025-01-20,2025-02-20
25,Cerveza,2025-01-25,2025-04-25
26,Vino,2025-01-28,2025-04-28
27,Refresco,2025-02-01,2025-03-01
28,Jugos,2025-02-05,2025-03-05
29,Café,2025-02-08,2025-03-08
30,Té,2025-02-10,2025-03-10
31,Chocolate,2025-02-12,2025-04-12
32,Galletas,2025-02-15,2025-03-15
33,Pastel,2025-02-18,2025-03-18
34,Helado,2025-02-20,2025-03-20
35,Pizza,2025-02-25,2025-03-25
36,Hamburguesas,2025-02-28,2025-03-28
37,Papas Fritas,2025-03-01,2025-04-01
38,Tacos,2025-03-05,2025-04-05
39,Burritos,2025-03-08,2025-04-08
40,Sushi,2025-03-10,2025-04-10
41,Ramen,2025-03-12,2025-04-12
42,Ensalada,2025-03-15,2025-04-15
43,Sopa,2025-03-18,2025-04-18
44,Sándwiches,2025-03-20,2025-04-20
45,Empanadas,2025-03-25,2025-04-25
46,Albóndigas,2025-03-28,2025-04-28
47,Pasteles,2025-04-01,2025-05-01
48,Tortillas,2025-04-05,2025-05-05
49,Tamales,2025-04-08,2025-05-08
50,Churros,2025-04-10,2025-05-10
51,Papa,2024-12-09,2025-06-12
52,Arroz Integral,2025-04-15,2025-10-15
53,Quinoa,2025-04-18,2025-10-18
54,Trigo,2025-04-20,2025-10-20
55,Avena,2025-04-25,2025-10-25
56,Cebada,2025-04-28,2025-10-28
57,Lentejas,2025-05-01,2025-11-01
58,Garbanzos,2025-05-05,2025-11-05
59,Alubias,2025-05-08,2025-11-08
60,Tofu,2025-05-10,2025-11-10
61,Seitan,2025-05-12,2025-11-12
62,Tempeh,2025-05-15,2025-11-15
63,Pescado,2025-05-18,2025-11-18
64,Camarones,2025-05-20,2025-11-20
65,Atún en lata,2025-05-25,2025-11-25
66,Salmón,2025-05-28,2025-11-28
67,Trucha,2025-06-01,2025-12-01
68,Hamburguesa vegetariana,2025-06-05,2025-12-05
69,Pollo orgánico,2025-06-08,2025-12-08
70,Carne de res premium,2025-06-10,2025-12-10
71,Jamon Serrano,2025-06-12,2025-12-12
72,Salchichas veganas,2025-06-15,2025-12-15
73,Queso cheddar,2025-06-18,2025-12-18
74,Yogur griego,2025-06-20,2025-12-20
75,Leche de almendras,2025-06-25,2025-12-25
76,Leche de coco,2025-06-28,2025-12-28
77,Leche de avena,2025-07-01,2026-01-01
78,Leche de soya,2025-07-05,2026-01-05
79,Queso parmesano,2025-07-08,2026-01-08
80,Queso feta,2025-07-10,2026-01-10
81,Mantequilla de maní,2025-07-12,2026-01-12
82,Mermelada de fresa,2025-07-15,2026-01-15
83,Miel orgánica,2025-07-18,2026-01-18
84,Granola,2025-07-20,2026-01-20
85,Barritas energéticas,2025-07-25,2026-01-25
86,Snacks de almendras,2025-07-28,2026-01-28
87,Galletas integrales,2025-08-01,2026-02-01
88,Chocolate negro,2025-08-05,2026-02-05
89,Chocolate con leche,2025-08-08,2026-02-08
90,Pastel de zanahoria,2025-08-10,2026-02-10
91,Cupcakes,2025-08-12,2026-02-12
92,Tarta de manzana,2025-08-15,2026-02-15
93,Donuts,2025-08-18,2026-02-18
94,Brownies,2025-08-20,2026-02-20
95,Helado de vainilla,2025-08-25,2026-02-25
96,Helado de chocolate,2025-08-28,2026-02-28
97,Helado de fresa,2025-09-01,2026-03-01
98,Pizza vegetariana,2025-09-05,2026-03-05
99,Pizza de pepperoni,2025-09-08,2026-03-08
100,Hamburguesa de pollo,2025-09-10,2026-03-10
101,ejemplo,2024-06-27,2024-06-29
102,ejemplo2,2024-06-27,2024-06-30
